240693,'Anglesey Arms','Halnaker, Boxgrove, West Sussex','PO18 0NQ',490846,108134,50.865585,-0.710445,Chichester

240709,'Badgers Tavern','Station Road, Petworth, West Sussex','GU28 0JF',497048,119162,50.963717,-0.619411,Chichester

240719,'Barley Mow','Breakneck Lane, Walderton, Chichester, West Sussex','PO18 9ED',479004,110627,50.889736,-0.878145,Chichester

240723,'Basmati Restaurant','Swan House, Market Square, Petworth, West Sussex','GU28 0AH',497651,121679,50.986243,-0.610152,Chichester

240737,'Bell Inn','3 Broyle Road, Chichester, West Sussex','PO19 6AT',486060,105439,50.842087,-0.779070,Chichester

240750,'Black Horse Inn','Byworth, Petworth, West Sussex','GU28 0HL',498744,121011,50.980051,-0.594766,Chichester

240763,'Bosham Football Club','Pavilion, Bosham Recreation Ground, Walton Lane, Bosham','PO18 8QF',481146,104399,50.833446,-0.849077,Chichester

240764,'Bosham Inn','Main Road, Bosham, Chichester, West Sussex','PO18 8PW',479362,105357,50.842306,-0.874197,Chichester

240766,'Bosham Sailing Club','The Quay, Quay Meadow, Bosham, Chichester','PO18 8LU',480388,103808,50.828239,-0.859968,Chichester

240776,'Bracklesham Social Club','Bracklesham Caravan And Boat Club, East Bracklesham Drive, Bracklesham, Chichester','PO20 8JP',481441,95830,50.756372,-0.846800,Chichester

240800,'Cabana Club','Selsey Country Club, Golf Links Lane, Selsey, Chichester','PO20 9DR',485027,94694,50.745636,-0.796221,Chichester

240895,'Chichester Baptist Church','124 Sherborne Road, Chichester, West Sussex','PO19 3AW',485445,105678,50.844327,-0.787761,Chichester

240896,'Chichester Boys Club','34A Little London, Chichester, West Sussex','PO19 1PL',486302,104861,50.836864,-0.775783,Chichester

240899,'Chichester City Club','13 North Pallant, Chichester, West Sussex','PO19 1TQ',486148,104725,50.835655,-0.778002,Chichester

240901,'Chichester Club Kitchen','Chichester City Club, 13 North Pallant, Chichester, West Sussex','PO19 1TQ',486148,104725,50.835655,-0.778002,Chichester

240919,'Chichester Snooker Club','Terminus Road, Chichester, West Sussex','PO19 8TL',485663,104242,50.831393,-0.784986,Chichester

240921,'Chichester Watersports Centre','Westhampnett Lake, Coach Road(north), Westhampnett, Chichester','PO18 0NX',488339,106140,50.848046,-0.746541,Chichester

240922,'Chichester Yacht Club','Premier Marinas, Chichester Marina, Birdham, Chichester','PO20 7EJ',483003,101013,50.802741,-0.823478,Chichester

240938,'Club House','Cowdray Park Golf Club, Easebourne, West Sussex','GU29 0BB',489781,122403,50.994031,-0.722065,Chichester

240939,'Coach And Horses','The Square, Compton, Chichester, West Sussex','PO18 9HA',477634,114821,50.927628,-0.896728,Chichester

240988,'Country Inn','Severals Road, Bepton, Midhurst, West Sussex','GU29 0LR',486973,120623,50.978459,-0.762492,Chichester

240997,'Cricketers Arms','Durbans Road, Wisborough Green, Billingshurst, West Sussex','RH14 0DG',504995,126214,51.025717,-0.504249,Chichester

241002,'Crown And Anchor','Dell Quay Road, Dell Quay, Appledram, Chichester','PO20 7EE',483582,102870,50.819353,-0.814841,Chichester

241008,'CYE Sailing Centre','Jubilee Building, Chidham Lane, Chidham, Chichester','PO18 8TE',479113,102848,50.819782,-0.878274,Chichester

241028,'DQSC Dellquay SC','Dell Quay Sailing Club, Dell Quay Road, Dell Quay, Appledram','PO20 7EE',483582,102870,50.819353,-0.814841,Chichester

241033,'Duke And Rye','St Peters Market, West Street, Chichester, West Sussex','PO19 1QU',485890,104865,50.836952,-0.781618,Chichester

241053,'Embassy Club Bar','The Waterfront Complex, West Sands Caravan Park, Mill Lane, Selsey','PO20 9BH',484339,93462,50.734660,-0.806252,Chichester

241067,'Faustinos Wine Bar','2A North Street, Midhurst, West Sussex','GU29 9DJ',488659,121697,50.987858,-0.738234,Chichester

241075,'Fernhurst Club','8 Midhurst Road, Fernhurst, Haslemere, West Sussex','GU27 3EE',489592,128422,51.048175,-0.723283,Chichester

241079,'Fernhurst Recreation Ground','The Pavillion, Recreation Ground, The Green, Fernhurst','GU27 3HY',490014,128553,51.049282,-0.717221,Chichester

241080,'Fernhurst Youth Club','Haslemere Road, Fernhurst, Haslemere, West Sussex','GU27 3EA',489695,128674,51.050420,-0.721741,Chichester

241087,'Fishbourne Centre','Blackboy Lane, Fishbourne, Chichester, West Sussex','PO18 8BE',483260,105020,50.838729,-0.818923,Chichester

241104,'Foresters Arms','The Street, Graffham, Petworth, West Sussex','GU28 0QA',492955,117626,50.950592,-0.678070,Chichester

241105,'Foresters Arms','Village Road, Kirdford, Billingshurst, West Sussex','RH14 0ND',501705,126870,51.032205,-0.550961,Chichester

241107,'Fox and Hounds','Common Road, Funtington, Chichester, West Sussex','PO18 9LL',480014,108344,50.869071,-0.864287,Chichester

241108,'Foxbridge Golf Club','Foxbridge Lane, Kirdford, Billingshurst, West Sussex','RH14 0LB',502096,130145,51.061576,-0.544465,Chichester

241141,'Half Moon','Petersfield Road, Midhurst, West Sussex','GU29 9LL',487769,121818,50.989082,-0.750882,Chichester

241142,'Half Moon Inn','Valentines Hill, Northchapel, Petworth, West Sussex','GU28 9HP',495175,129420,51.056237,-0.643387,Chichester

241143,'Halfway Bridge Inn','Halfway Bridge, Lodsworth, Petworth, West Sussex','GU28 9BP',493066,121972,50.989626,-0.675380,Chichester

241151,'Harbour Way Country Club','Chichester Road, West Wittering, Chichester, West Sussex','PO20 8QA',480576,99166,50.786468,-0.858331,Chichester

241153,'Hare And Hounds','Stoughton, Chichester, West Sussex','PO18 9JQ',480319,111517,50.897556,-0.859257,Chichester

241160,'Harting Mens Club','Church Lane, South Harting, Petersfield, West Sussex','GU31 5QF',478390,119465,50.969279,-0.884975,Chichester

241185,'Horse and Groom','East Ashling, Chichester, West Sussex','PO18 9AX',482037,107717,50.863151,-0.835685,Chichester

241200,'Itchenor Sailing Club','Pier Point Road, Itchenor, Chichester, West Sussex','PO20 7AG',480065,101312,50.805842,-0.865111,Chichester

241203,'J D Wetherspoon','The Dolphin And Anchor, 9 West Street, Chichester, West Sussex','PO19 1QD',486048,104844,50.836740,-0.779394,Chichester

241209,'JB's Takeaway & Ships Bar','JB Complex, White Horse Caravan Park, Paddock Lane, Selsey','PO20 9EJ',485319,93883,50.738302,-0.792271,Chichester

241272,'Liphook Golf Club','Wheatsheaf Enclosure, Milland, Liphook, West Sussex','GU30 7EH',483546,129677,51.060355,-0.809213,Chichester

241335,'Medmerry Arms, (Medmerry Park Limited)','Medmerry Park, Stoney Lane, Earnley, Chichester','PO20 7JP',481988,95848,50.756448,-0.839029,Chichester

241347,'Midhurst Sports Association','Midhurst Sports Association Grounds, Cowdray Ruins, North Street, Midhurst','GU29 9AL',489102,121618,50.987079,-0.731944,Chichester

241378,'Nava Thai','The Hamilton Arms, School Lane, Stedham, Midhurst','GU29 0NZ',485851,122250,50.993245,-0.778086,Chichester

241384,'New Park Sports And Social Club','New Park Community Association, New Park Centre, New Park Road, Chichester','PO19 7XY',486467,104986,50.837963,-0.773397,Chichester

241393,'Noahs Ark Inn','Dial Green Lane, Lurgashall, Petworth, West Sussex','GU28 9ET',493722,127085,51.035503,-0.664716,Chichester

